City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
332,Barcelos,PT,16.03,clear sky,41.5388,-8.6151,Hotel Do Terço
334,Hualmay,PE,18.62,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
336,Semey,KZ,15.46,broken clouds,50.4111,80.2275,Grand Hotel Semey
338,Lundamo,NO,12.54,scattered clouds,63.1333,10.3,Valdøyan Camping
343,Firovo,RU,18.32,overcast clouds,57.4814,33.7021,Nedostroyennyy Otel'
349,Sao Mateus Do Sul,BR,15.62,overcast clouds,-25.8742,-50.3828,Hotel Dom Leopoldo
350,Zolotonosha,UA,18.96,scattered clouds,49.6689,32.0377,Кафе-бар «у Дідуся»
352,Skibbereen,IE,17.89,scattered clouds,51.55,-9.2667,The West Cork Hotel
353,Resavica,RS,17.82,clear sky,44.0408,21.5816,Hotel Đula
356,La Rioja,ES,11.88,overcast clouds,42.25,-2.5,Casa Concejos
359,Governador Valadares,BR,19.43,clear sky,-18.8511,-41.9494,Hotel Panorama
360,Turinsk,RU,13.62,clear sky,58.0458,63.696,hotel Arthur
361,Springbok,ZA,8.46,clear sky,-29.6643,17.8865,Undulata Country Lodge
363,Antofagasta,CL,14.6,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
365,Louis Trichardt,ZA,13.88,clear sky,-23.0439,29.9032,139 on Munnik Guest House
366,Sosnytsya,UA,17.83,broken clouds,51.5239,32.4999,Hotel Ubid
370,Sorkjosen,NO,11.74,overcast clouds,69.8,20.9333,Reisafjord Hotel AS
371,Sheltozero,RU,17.5,broken clouds,61.3667,35.3667,The village of Vanino
372,Sept-Iles,CA,17.29,mist,50.2001,-66.3821,Comfort Inn
375,Ushtobe,KZ,15.22,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
377,Snina,SK,18.05,scattered clouds,48.9886,22.151,Hotel Kamei
380,Rognan,NO,12.09,scattered clouds,67.0953,15.3878,Rognan Hotell
386,Salta,AR,5.33,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
387,Chimbote,PE,19.09,scattered clouds,-9.0853,-78.5783,Hotel Viera Chimbote
388,Artvin,TR,17.6,broken clouds,41.1667,41.8333,Koru Butik Otel
391,Parabel,RU,12.44,overcast clouds,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
394,Richards Bay,ZA,18.71,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
395,Pinega,RU,15.08,overcast clouds,64.7001,43.3936,"Gostevoy Dom Ooo ""Pinezh'yeles"""
396,Kushmurun,KZ,17.87,clear sky,52.4503,64.6311,Gostinitsa Pri Depo
400,Hvolsvollur,IS,9.89,overcast clouds,63.7533,-20.2243,Hotel Rangá
410,Nivala,FI,10.76,overcast clouds,63.9167,24.9667,Hotelli Huiskankorpi / Aseman majatalo
413,Sorland,NO,10.13,broken clouds,67.667,12.6934,Sjybrygga fiskecamp
414,Yar-Sale,RU,8.62,overcast clouds,66.8333,70.8333,Yalemd
416,Camacha,PT,18.42,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
419,Pangnirtung,CA,3.19,light rain,66.1451,-65.7125,Kilabuk Lodge
422,Manhuacu,BR,13.65,clear sky,-20.2581,-42.0336,Hotel Xavier
426,Wageningen,NL,18.95,moderate rain,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
429,Loukhi,RU,13.11,overcast clouds,66.0764,33.0381,Хостел Северяночка
431,Shrewsbury,GB,17.35,broken clouds,52.7101,-2.7521,Prince Rupert Hotel
436,Las Palmas,ES,19.44,few clouds,28.4204,-14.0131,Casillas De Morales 59.
438,Aquidauana,BR,16.66,broken clouds,-20.4711,-55.7872,HOTEL ARARAS
441,Lugovoy,KZ,18.57,clear sky,42.9472,72.7644,Ж.Д Вокзал Луговая
442,Pasinler,TR,16.55,few clouds,39.9803,41.6764,Kır Evi (Dağa Yakın)
444,Maniitsoq,GL,6.02,moderate rain,65.4167,-52.9,Hotel Heilmann Lyberth
447,Calais,FR,18.0,broken clouds,50.9167,1.8333,Cottage Hôtel Restaurant
451,Naryan-Mar,RU,6.82,few clouds,67.6713,53.087,Hostel Agat
452,Pelym,RU,16.36,broken clouds,61.0108,61.9978,Obshchezhitiye Pelymskogo Lpumg
454,Paamiut,GL,7.02,moderate rain,61.994,-49.6678,Hotel Ivaana
456,Marawi,PH,17.03,overcast clouds,7.9986,124.2928,Derogongan Residence
458,Pregradnaya,RU,16.17,scattered clouds,43.9508,41.1994,"Gora ""Shunina"""
461,Monster,NL,18.89,overcast clouds,52.0258,4.175,Hotel Restaurant Unicum Elzenhagen
462,Rafaela,AR,8.89,broken clouds,-31.2503,-61.4867,Parra Hotel & Suites
463,Bonavista,CA,16.0,moderate rain,48.6499,-53.1147,Abbott's Bed & Breakfast
464,Camana,PE,17.46,overcast clouds,-16.6228,-72.7111,Hostal Morales
469,Coihaique,CL,0.34,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
471,Rocha,UY,7.2,broken clouds,-34.4833,-54.3333,Beleza Pura B&B
474,Vagur,FO,9.71,broken clouds,61.4732,-6.8119,The Scouts House Camping
478,Huaraz,PE,12.92,light rain,-9.5333,-77.5333,Hotel El Tumi
481,Snezhnogorsk,RU,11.88,overcast clouds,69.1933,33.2531,Severnoye Siyaniye
483,Malanje,AO,18.23,scattered clouds,-9.5402,16.341,Malanje Hotel
489,Iquique,CL,17.02,overcast clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
491,Edelira,PY,7.36,overcast clouds,-26.75,-55.2667,Hospedaje Miguelito
493,Seredka,RU,18.86,light rain,58.1584,28.1858,Lesnoy Oazis
494,Rypefjord,NO,10.26,clear sky,70.6333,23.6667,Skytterhuset
495,Belokurikha,RU,11.95,overcast clouds,51.9959,84.9896,Neo Hotel
500,Chute-Aux-Outardes,CA,18.17,mist,49.1168,-68.399,Camp St-Paul Gite Plein-Air
501,Muhos,FI,14.88,broken clouds,64.808,25.9931,Montta - active camping / campsite Montan
