,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Boddam,GB,57.4667,-1.7833,13.55,85,100,2.25,overcast clouds
186,Turbat,PK,26.0023,63.044,27.09,77,32,2.83,scattered clouds
187,Maceio,BR,-9.6658,-35.7353,22.69,83,75,5.66,broken clouds
188,Rio Gallegos,AR,-51.6226,-69.2181,4.03,60,0,1.03,clear sky
189,Bambous Virieux,MU,-20.3428,57.7575,22.9,78,40,3.09,scattered clouds
190,Chaumont,FR,48.1167,5.1333,18.16,95,97,1.49,overcast clouds
191,Yacuiba,BO,-22.038,-63.6797,7.8,69,100,2.34,overcast clouds
192,Souillac,MU,-20.5167,57.5167,22.98,78,40,3.09,scattered clouds
193,Santa Cruz,BO,-17.8,-63.1667,11.7,87,75,6.17,broken clouds
194,Camocim,BR,-2.9022,-40.8411,25.86,78,47,3.61,scattered clouds
195,Saquarema,BR,-22.92,-42.5103,24.01,80,0,5.87,clear sky
196,Verkhnyaya Toyma,RU,62.2349,44.9985,20.96,67,97,2.08,overcast clouds
197,Acari,PE,-15.4311,-74.6158,19.84,67,98,2.02,overcast clouds
198,Galle,LK,6.0367,80.217,26.18,84,100,5.88,overcast clouds
199,Taoudenni,ML,22.6783,-3.9836,40.49,7,1,2.36,clear sky
200,Geraldton,AU,-28.7667,114.6,17.23,77,75,3.6,broken clouds
201,Gumdag,TM,39.2061,54.5906,32.77,18,0,2.31,clear sky
202,Mangrol,IN,21.1167,70.1167,28.83,74,74,6.61,broken clouds
203,Kailahun,SL,8.2833,-10.5667,21.52,99,87,1.0,light rain
204,Varna,BG,43.2167,27.9167,22.86,96,20,0.51,few clouds
205,Santa Maria,BR,-29.6842,-53.8069,9.61,76,20,3.6,few clouds
206,Sao Filipe,CV,14.8961,-24.4956,23.89,82,99,2.57,overcast clouds
207,Ustyuzhna,RU,58.8394,36.4321,19.42,95,63,2.13,broken clouds
208,Soyo,AO,-6.1349,12.3689,22.64,88,17,2.67,few clouds
209,Olavarria,AR,-36.8927,-60.3225,4.48,92,91,6.27,overcast clouds
210,Gurupa,BR,-1.405,-51.64,23.66,93,71,0.42,light rain
211,Ribnica,SI,45.7386,14.7275,22.35,72,70,1.41,broken clouds
212,Mapiri,BO,-15.25,-68.1667,19.65,98,84,0.32,broken clouds
213,Youghal,IE,51.95,-7.8506,17.56,83,23,4.19,few clouds
