City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Amarante Do Maranhao,BR,2021-06-26 16:40:50,-5.5667,-46.7422,33.78,31,27,2.55
235,Marzuq,YE,2021-06-26 16:40:52,14.4,46.4667,26.64,56,28,4.21
236,Chalmette,US,2021-06-26 16:40:53,29.9427,-89.9634,31.74,65,1,4.47
237,Progreso,MX,2021-06-26 16:40:55,21.2833,-89.6667,31.73,55,100,1.66
238,Dombarovskiy,RU,2021-06-26 16:40:56,50.7587,59.5386,22.4,65,85,3.43
239,Roald,NO,2021-06-26 16:40:57,62.5833,6.1333,15.65,87,40,2.57
240,Vsevolozhsk,RU,2021-06-26 16:40:59,60.0204,30.6372,25.45,56,22,3.11
241,Tucuman,AR,2021-06-26 16:41:00,-26.8241,-65.2226,12.0,82,90,3.09
242,Pitimbu,BR,2021-06-26 16:41:01,-7.4706,-34.8086,30.33,60,88,8.33
243,Atar,MR,2021-06-26 16:41:03,20.5169,-13.0499,42.83,8,24,6.02
244,Manta,EC,2021-06-26 16:37:04,-0.95,-80.7333,24.88,73,90,4.12
245,Thompson,CA,2021-06-26 16:41:05,55.7435,-97.8558,16.09,39,1,2.06
246,Saint-Pierre,RE,2021-06-26 16:41:07,-21.3393,55.4781,21.8,74,0,1.54
247,Rocha,UY,2021-06-26 16:41:08,-34.4833,-54.3333,16.51,72,85,4.5
248,Catio,GW,2021-06-26 16:41:11,11.2833,-15.25,28.44,70,90,5.44
249,Polunochnoye,RU,2021-06-26 16:41:12,60.8697,60.4153,13.62,93,93,1.99
250,Mahebourg,MU,2021-06-26 16:41:14,-20.4081,57.7,21.16,88,75,6.69
251,Iturama,BR,2021-06-26 16:41:15,-19.7281,-50.1956,31.58,21,13,5.23
252,Rawson,AR,2021-06-26 16:41:16,-43.3002,-65.1023,7.47,59,70,12.06
253,Pangnirtung,CA,2021-06-26 16:41:18,66.1451,-65.7125,9.0,76,90,7.72
254,Port-Gentil,GA,2021-06-26 16:41:19,-0.7193,8.7815,25.98,78,90,5.66
255,Karwar,IN,2021-06-26 16:41:20,14.8,74.1333,25.69,84,98,3.94
256,Nieuw Amsterdam,SR,2021-06-26 16:41:22,5.8833,-55.0833,32.01,51,40,5.14
257,Bosaso,SO,2021-06-26 16:41:24,11.2842,49.1816,31.79,58,94,1.84
258,Tsaratanana,MG,2021-06-26 16:41:26,-16.7833,47.65,19.89,54,1,2.61
259,Ambilobe,MG,2021-06-26 16:41:27,-13.2,49.05,21.03,79,1,1.07
260,Pucara,PE,2021-06-26 16:41:29,-15.9803,-71.4606,6.07,25,2,3.4
261,Beinamar,TD,2021-06-26 16:41:30,8.6698,15.3813,32.07,41,57,3.0
262,Touros,BR,2021-06-26 16:41:31,-5.1989,-35.4608,32.5,55,74,8.56
263,Hopelchen,MX,2021-06-26 16:41:33,19.7667,-89.85,28.6,35,93,1.78
264,Wajir,KE,2021-06-26 16:41:34,1.7471,40.0573,30.98,37,75,2.57
265,Krechevitsy,RU,2021-06-26 16:41:36,58.617,31.401,24.6,60,66,3.74
266,Marrakesh,MA,2021-06-26 16:41:37,31.6315,-8.0083,37.04,20,0,3.09
267,Oeiras Do Para,BR,2021-06-26 16:41:38,-2.0031,-49.8544,32.48,46,50,1.99
268,Vardo,NO,2021-06-26 16:41:40,70.3705,31.1107,8.11,80,100,2.17
269,Faya,SA,2021-06-26 16:41:41,18.3851,42.4509,28.06,15,97,4.52
270,Shubarshi,KZ,2021-06-26 16:41:17,48.5872,57.1869,27.69,41,36,6.46
271,Soyo,AO,2021-06-26 16:41:44,-6.1349,12.3689,26.03,85,57,3.4
272,Myatlevo,RU,2021-06-26 16:41:45,54.8969,35.6762,28.97,74,45,1.63
273,Conceicao Da Barra,BR,2021-06-26 16:41:47,-18.5933,-39.7322,24.99,53,55,3.86
274,Eyl,SO,2021-06-26 16:41:48,7.9803,49.8164,25.86,77,82,10.89
275,Kirando,TZ,2021-06-26 16:41:50,-7.4167,30.6,23.83,52,7,1.66
276,Ambanja,MG,2021-06-26 16:41:51,-13.6833,48.45,21.15,87,4,1.24
277,Bongandanga,CD,2021-06-26 16:41:52,1.5,21.05,28.2,52,23,1.37
